Date : 2023-05-02 10:30:45
Directory : /Users/juanma/development/golang/happ
Total : 282 files,  12418 codes, 2572 comments, 1772 blanks, all 16762 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| Dart             |        167 |      6,081 |      1,470 |        831 |      8,382 |
| Go               |         91 |      6,056 |      1,042 |        928 |      8,026 |
| GraphQL          |         18 |        156 |         51 |         11 |        218 |
| Go Checksum File |          1 |         45 |          0 |          0 |         45 |
| XML              |          1 |         37 |          1 |          1 |         39 |
| Go Module File   |          1 |         20 |          0 |          0 |         20 |
| JSON             |          1 |         12 |          0 |          1 |         13 |
| YAML             |          2 |         11 |          8 |          0 |         19 |
+------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                 | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                    |        282 |     12,418 |      2,572 |      1,772 |     16,762 |
| happ_client                                                                                                                          |        185 |      6,222 |      1,498 |        836 |      8,556 |
| happ_client (Files)                                                                                                                  |          2 |         56 |          2 |          4 |         62 |
| happ_client/assets                                                                                                                   |          1 |         37 |          1 |          1 |         39 |
| happ_client/assets/logos                                                                                                             |          1 |         37 |          1 |          1 |         39 |
| happ_client/graphql                                                                                                                  |         15 |         48 |         25 |          0 |         73 |
| happ_client/graphql/mutations                                                                                                        |         11 |         28 |         27 |          0 |         55 |
| happ_client/graphql/queries                                                                                                          |          4 |         20 |         -2 |          0 |         18 |
| happ_client/lib                                                                                                                      |        167 |      6,081 |      1,470 |        831 |      8,382 |
| happ_client/lib (Files)                                                                                                              |          1 |         28 |         30 |         11 |         69 |
| happ_client/lib/src                                                                                                                  |        166 |      6,053 |      1,440 |        820 |      8,313 |
| happ_client/lib/src (Files)                                                                                                          |          1 |         51 |         -2 |          8 |         57 |
| happ_client/lib/src/api                                                                                                              |          3 |        958 |          0 |        167 |      1,125 |
| happ_client/lib/src/api/graphql                                                                                                      |          3 |        958 |          0 |        167 |      1,125 |
| happ_client/lib/src/client                                                                                                           |          1 |        -70 |         95 |          5 |         30 |
| happ_client/lib/src/repos                                                                                                            |          2 |         90 |         34 |         16 |        140 |
| happ_client/lib/src/riverpod                                                                                                         |         58 |        794 |         40 |        235 |      1,069 |
| happ_client/lib/src/riverpod/acceptInvitation                                                                                        |          1 |          1 |          0 |          0 |          1 |
| happ_client/lib/src/riverpod/addGuests                                                                                               |          2 |         54 |          0 |         16 |         70 |
| happ_client/lib/src/riverpod/addNewGuestsSelect                                                                                      |          2 |         41 |          4 |         16 |         61 |
