Date : 2023-05-02 10:30:45
Directory : /Users/juanma/development/golang/happ
Total : 340 files,  57562 codes, 8013 comments, 7767 blanks, all 73342 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| Go               |        105 |     36,245 |      5,141 |      5,075 |     46,461 |
| Dart             |        178 |     19,062 |      2,633 |      2,555 |     24,250 |
| GraphQL          |         29 |        827 |         62 |         48 |        937 |
| Go Checksum File |          1 |        730 |          0 |          1 |        731 |
| XML              |         10 |        160 |         49 |         12 |        221 |
| JSON             |          3 |        157 |          0 |          3 |        160 |
| YAML             |          4 |        139 |        122 |         32 |        293 |
| Go Module File   |          1 |        119 |          0 |          5 |        124 |
| Groovy           |          3 |         89 |          5 |         22 |        116 |
| Markdown         |          2 |         13 |          0 |          9 |         22 |
| Swift            |          1 |         12 |          0 |          2 |         14 |
| Properties       |          2 |          8 |          1 |          2 |         11 |
| C++              |          1 |          1 |          0 |          1 |          2 |
+------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                 | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                    |        340 |     57,562 |      8,013 |      7,767 |     73,342 |
| happ_client                                                                                                                          |        228 |     20,110 |      2,806 |      2,647 |     25,563 |
| happ_client (Files)                                                                                                                  |          5 |        318 |         90 |         49 |        457 |
| happ_client/android                                                                                                                  |         12 |        159 |         52 |         33 |        244 |
| happ_client/android (Files)                                                                                                          |          3 |         38 |          0 |         10 |         48 |
| happ_client/android/app                                                                                                              |          8 |        116 |         51 |         22 |        189 |
| happ_client/android/app (Files)                                                                                                      |          1 |         54 |          5 |         13 |         72 |
| happ_client/android/app/src                                                                                                          |          7 |         62 |         46 |          9 |        117 |
| happ_client/android/app/src/debug                                                                                                    |          1 |          4 |          4 |          1 |          9 |
| happ_client/android/app/src/main                                                                                                     |          5 |         54 |         38 |          7 |         99 |
| happ_client/android/app/src/main (Files)                                                                                             |          1 |         28 |          6 |          1 |         35 |
| happ_client/android/app/src/main/res                                                                                                 |          4 |         26 |         32 |          6 |         64 |
| happ_client/android/app/src/main/res/drawable                                                                                        |          1 |          4 |          7 |          2 |         13 |
| happ_client/android/app/src/main/res/drawable-v21                                                                                    |          1 |          4 |          7 |          2 |         13 |
| happ_client/android/app/src/main/res/values                                                                                          |          1 |          9 |          9 |          1 |         19 |
| happ_client/android/app/src/main/res/values-night                                                                                    |          1 |          9 |          9 |          1 |         19 |
| happ_client/android/app/src/profile                                                                                                  |          1 |          4 |          4 |          1 |          9 |
| happ_client/android/gradle                                                                                                           |          1 |          5 |          1 |          1 |          7 |
| happ_client/android/gradle/wrapper                                                                                                   |          1 |          5 |          1 |          1 |          7 |
| happ_client/assets                                                                                                                   |          1 |         37 |          1 |          1 |         39 |
| happ_client/assets/logos                                                                                                             |          1 |         37 |          1 |          1 |         39 |
| happ_client/graphql                                                                                                                  |         25 |        312 |         28 |          0 |        340 |
| happ_client/graphql/mutations                                                                                                        |         15 |        126 |         27 |          0 |        153 |
| happ_client/graphql/queries                                                                                                          |         10 |        186 |          1 |          0 |        187 |
| happ_client/ios                                                                                                                      |          7 |        222 |          2 |          9 |        233 |
| happ_client/ios/Runner                                                                                                               |          7 |        222 |          2 |          9 |        233 |
| happ_client/ios/Runner (Files)                                                                                                       |          2 |         13 |          0 |          3 |         16 |
| happ_client/ios/Runner/Assets.xcassets                                                                                               |          3 |        148 |          0 |          4 |        152 |
| happ_client/ios/Runner/Assets.xcassets/AppIcon.appiconset                                                                            |          1 |        122 |          0 |          1 |        123 |
| happ_client/ios/Runner/Assets.xcassets/LaunchImage.imageset                                                                          |          2 |         26 |          0 |          3 |         29 |
| happ_client/ios/Runner/Base.lproj                                                                                                    |          2 |         61 |          2 |          2 |         65 |
| happ_client/lib                                                                                                                      |        177 |     19,048 |      2,623 |      2,548 |     24,219 |
| happ_client/lib (Files)                                                                                                              |          2 |        162 |         77 |         40 |        279 |
| happ_client/lib/src                                                                                                                  |        175 |     18,886 |      2,546 |      2,508 |     23,940 |
| happ_client/lib/src (Files)                                                                                                          |          1 |         85 |          4 |         19 |        108 |
| happ_client/lib/src/api                                                                                                              |          4 |      5,011 |          9 |        856 |      5,876 |
| happ_client/lib/src/api/graphql                                                                                                      |          4 |      5,011 |          9 |        856 |      5,876 |
| happ_client/lib/src/client                                                                                                           |          2 |          4 |        101 |         23 |        128 |
| happ_client/lib/src/models                                                                                                           |          1 |         48 |          0 |          3 |         51 |
| happ_client/lib/src/repos                                                                                                            |          2 |        372 |         36 |         64 |        472 |
| happ_client/lib/src/riverpod                                                                                                         |         71 |      1,844 |         94 |        555 |      2,493 |
| happ_client/lib/src/riverpod/acceptInvitation                                                                                        |          2 |         40 |          1 |         13 |         54 |
| happ_client/lib/src/riverpod/addGuests                                                                                               |          2 |         54 |          0 |         16 |         70 |
| happ_client/lib/src/riverpod/addNewGuestsSelect                                                                                      |          2 |         41 |          4 |         16 |         61 |
| happ_client/lib/src/riverpod/addRemove                                                                                               |          2 |         69 |         27 |         16 |        112 |
| happ_client/lib/src/riverpod/auth                                                                                                    |          1 |         16 |          1 |          5 |         22 |
| happ_client/lib/src/riverpod/authFlowNotifier                                                                                        |          2 |         20 |          1 |          9 |         30 |
| happ_client/lib/src/riverpod/currentUser                                                                                             |          1 |         10 |          0 |          4 |         14 |
| happ_client/lib/src/riverpod/deleteEvent                                                                                             |          2 |         55 |          2 |         16 |         73 |
| happ_client/lib/src/riverpod/deleteUser                                                                                              |          2 |         38 |          0 |         13 |         51 |
| happ_client/lib/src/riverpod/eventGuests                                                                                             |          2 |         53 |          2 |         19 |         74 |
| happ_client/lib/src/riverpod/eventHosts                                                                                              |          2 |         40 |          3 |         13 |         56 |
| happ_client/lib/src/riverpod/eventUpdatePictureActions                                                                               |          2 |         32 |         10 |         10 |         52 |
| happ_client/lib/src/riverpod/eventUpdateReady                                                                                        |          2 |         63 |          0 |         10 |         73 |
| happ_client/lib/src/riverpod/firebaseAuthProvider                                                                                    |          1 |          3 |          0 |          1 |          4 |
| happ_client/lib/src/riverpod/guestListAction                                                                                         |          2 |         52 |          0 |         14 |         66 |
| happ_client/lib/src/riverpod/inviteGuestsAndOrganizers                                                                               |          2 |         43 |          0 |         13 |         56 |
| happ_client/lib/src/riverpod/inviteUserSelect                                                                                        |          2 |         64 |          4 |         22 |         90 |
| happ_client/lib/src/riverpod/leaveEvent                                                                                              |          2 |         55 |          0 |         16 |         71 |
| happ_client/lib/src/riverpod/locationSearch                                                                                          |          6 |        177 |         11 |         59 |        247 |
| happ_client/lib/src/riverpod/newEvent                                                                                                |          2 |         49 |          0 |         14 |         63 |
| happ_client/lib/src/riverpod/newEventAddPictures                                                                                     |          2 |         28 |          0 |         11 |         39 |
| happ_client/lib/src/riverpod/newEventComplete                                                                                        |          2 |         75 |          0 |         10 |         85 |
| happ_client/lib/src/riverpod/pickDateAndTime                                                                                         |          2 |         55 |          2 |         22 |         79 |
| happ_client/lib/src/riverpod/removeGuestSelect                                                                                       |          2 |         39 |         10 |         16 |         65 |
| happ_client/lib/src/riverpod/removeGuests                                                                                            |          2 |         58 |          2 |         17 |         77 |
| happ_client/lib/src/riverpod/scanPass                                                                                                |          2 |         48 |          0 |         14 |         62 |
| happ_client/lib/src/riverpod/search                                                                                                  |          2 |         46 |          7 |         21 |         74 |
| happ_client/lib/src/riverpod/searchForUsersToAddAsGuests                                                                             |          2 |         49 |          3 |         15 |         67 |
| happ_client/lib/src/riverpod/seePass                                                                                                 |          2 |         37 |          1 |         13 |         51 |
| happ_client/lib/src/riverpod/signIn                                                                                                  |          2 |         45 |          0 |         14 |         59 |
| happ_client/lib/src/riverpod/updateEvent                                                                                             |          2 |         50 |          0 |         14 |         64 |
| happ_client/lib/src/riverpod/updatePictures                                                                                          |          2 |         55 |          0 |         14 |         69 |
| happ_client/lib/src/riverpod/userAccess                                                                                              |          2 |         43 |          1 |         14 |         58 |
| happ_client/lib/src/riverpod/userData                                                                                                |          2 |         39 |          0 |         13 |         52 |
